RouteID,Route,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
105741866,Colossus,2022-07-26,Sport,0,5.10c,G,3.6,1,Onsight/Flash,1
105741869,Coffee and Cornflakes,2022-07-26,Sport,0,5.10a,G,2.8,1,Onsight/Flash,1
105748096,Aid Crack,2021-06-12,Trad,0,5.10d,G,2.6,1,Onsight/Flash,1
105748154,Louise,2014-08-14,Sport,0,5.9,G,1.2,1,Onsight/Flash,1
105748160,Thelma,2014-08-13,Sport,0,5.7+,G,1.2,1,Onsight/Flash,1
105748235,Natural Selection,2022-10-22,Sport,0,5.11b,G,2.5,1,Onsight/Flash,1
105748298,Road Kill,2019-05-11,Sport,0,5.11c/d,G,2.9,3,Onsight/Flash,1
105748361,Wind Ridge,2017-06-14,Trad,0,5.7,G,3.2,4,Onsight/Flash,1
105748397,Reefer Madness,2015-07-20,Sport,0,5.11a,G,3.1,1,Onsight/Flash,1
105748409,Recovery,2021-04-11,Sport,0,5.10c,G,2.4,1,Onsight/Flash,1
105748415,Wet Dream,2018-03-17,Sport,0,5.12a,G,3.6,1,Fell/Hung,1
105748421,Ten-Digit Dialing,2018-06-20,Sport,0,5.12c,G,3.6,1,Redpoint,3
105748433,The Great Escape,2018-06-26,Sport,0,5.12,G,3.7,1,Onsight/Flash,1
105748448,Mosquito Burrito,2021-04-10,Sport,0,5.9-,G,2.7,1,Onsight/Flash,1
105748451,Slammer,2018-06-14,Sport,0,5.12b,G,3.6,1,Redpoint,2
105748478,A Tall Cool One,2021-04-04,Sport,0,5.12a,G,2.8,1,Redpoint,3
105748496,Casual Route,2021-08-06,Trad,1,5.10a,G,3.8,8,Redpoint,2
105748586,The Fabulous Flying Carrs Route,2020-01-20,Sport,0,5.11a,G,2.2,1,Redpoint,2
105748591,Mrs. Hen Places a Peck,2023-03-19,Sport,0,5.11d,G,2.7,1,Onsight/Flash,1
105748594,Mr. Squirrel Places a Nut,2018-12-30,Sport,0,5.11c,G,3.0,1,Redpoint,3
105748609,Brain Cloud aka Shadow Arete,2014-11-13,Sport,0,5.9,G,2.3,1,Onsight/Flash,1
105748627,Hair City,2017-06-04,Trad,0,5.9+,R,3.6,3,Onsight/Flash,1
105748690,Regroovable,2024-12-22,Sport,0,5.11b,G,3.5,1,Onsight/Flash,1
105748693,Hot Licks,2022-05-14,Trad,0,5.9,G,3.4,4,Onsight/Flash,1
105748702,Spinney Dan,2024-12-22,Sport,0,5.10c,G,3.3,1,Onsight/Flash,1
105748771,Vertigo,2017-11-19,Trad,0,5.11b,G,3.8,4,Redpoint,2
105748816,Center Route,2023-02-19,Trad,0,5.9+,G,3.9,2,Fell/Hung,1
105748936,Verschneidung Dihedral,2020-03-07,Trad,0,5.7,G,2.9,2,Onsight/Flash,1
105748975,Thirteen Engines,2020-12-25,Sport,0,5.11c,G,3.1,1,Fell/Hung,1
105748990,No Passion for Fashion,2018-02-18,Sport,0,5.11b/c,G,3.7,1,Onsight/Flash,1
105748993,Menses,2018-02-18,Sport,0,5.10d,G,2.9,1,Onsight/Flash,1
105749002,Hazardous Waste,2023-02-26,Sport,0,5.11d,G,2.2,1,Redpoint,2
105749005,Power Trip,2022-04-17,Sport,0,5.12a,G,3.0,1,Redpoint,3
105749011,Anarchy Rules,2019-05-03,Sport,0,5.12b,G,3.0,1,Redpoint,4
105749029,Xanadu,2020-03-07,Trad,0,5.10a,G,3.5,1,Redpoint,2
105749116,Porkus Non Grata,2023-04-23,Sport,0,5.11-,G,2.9,1,Onsight/Flash,1
105749119,The Apple Bites Back,2024-12-23,Sport,0,5.11c,G,3.5,1,Onsight/Flash,1
105749122,Suburbia,2023-04-23,Sport,0,5.10b/c,G,3.4,1,Onsight/Flash,1
105749158,Sonic Youth,2019-07-28,Sport,0,5.13a,G,3.8,1,Fell/Hung,1
105749167,Hot Dog,2018-03-04,Sport,0,5.11b,G,3.0,1,Onsight/Flash,1
